question_usage_id,context_id
1,103001
2,103002
3,103001
4,103002
5,103001
6,103002
7,103001
8,103002
9,103001
10,103002
11,103001
12,103002
13,103001
14,103002
15,103001
16,103002
17,103001
18,103002
19,103001
20,103002
21,103001
22,103002
23,103001
24,103002
25,103001
26,103002
27,103001
28,103002
29,103001
30,103002
31,103001
32,103002
33,103001
34,103002
35,103001
36,103002
37,103001
38,103002
39,103001
40,103002
41,103001
42,103002
43,103001
44,103002
45,103001
46,103002
47,103001
48,103002
49,103001
50,103002
51,103001
52,103002
53,103001
54,103002
55,103001
56,103002
57,103001
58,103002
59,103001
60,103002
61,103001
62,103002
63,103001
64,103002
65,103001
66,103002
67,103001
68,103002
69,103001
70,103002
71,103001
72,103002
73,103001
74,103002
75,103001
76,103002
77,103001
78,103002
79,103001
80,103002
81,103001
82,103002
83,103001
84,103002
85,103001
86,103002
87,103001
88,103002
89,103001
90,103002
